code,name,best_ma,h_floor
600854,春兰股份,195,5.4
600858,银座股份,225,5.97
600859,王府井,105,12.25
600863,华能蒙电,250,4.61
600861,北京人力,195,18.74
600862,中航高科,210,22.28
600860,京城股份,175,12.58
600864,哈投股份,120,6.69
600865,百大集团,250,9.52
600866,星湖科技,160,6.85
600867,通化东宝,230,8.76
600869,远东股份,205,7.75
600868,梅雁吉祥,250,3.44
600872,中炬高新,75,17.75
600873,梅花生物,80,10.17
600874,创业环保,250,6.25
600871,石化油服,250,2.26
600875,东方电气,80,20.8
600876,凯盛新能,45,9.89
600877,电科芯片,200,15.24
600879,航天电子,250,10.94
600880,博瑞传播,30,5.1
600882,妙可蓝多,220,24.69
600881,亚泰集团,135,1.87
600884,杉杉股份,245,13.35
600883,博闻科技,140,8.03
600886,国投电力,60,13.77
600885,宏发股份,245,30.38
600887,伊利股份,45,26.73
600888,新疆众和,225,8.06
600893,航发动力,145,36.42
600895,张江高科,230,40.12
600894,广日股份,150,9.59
600897,厦门空港,250,17.17
600900,长江电力,105,27.82
600903,贵州燃气,40,6.85
600901,江苏金租,250,6.13
600905,三峡能源,30,4.08
600909,华安证券,245,6.58
600906,财达证券,120,6.85
600908,无锡银行,205,5.96
600917,重庆燃气,30,5.54
600916,中国黄金,35,8.0
600919,江苏银行,250,10.78
600918,中泰证券,115,6.58
600926,杭州银行,225,15.24
600925,苏能股份,190,4.58
600927,永安期货,125,15.31
600928,西安银行,210,3.74
600929,雪天盐业,210,5.74
600935,华塑股份,35,2.64
600933,爱柯迪,135,19.17
600936,北投科技,240,4.0
600939,重庆建工,100,3.17
600938,中国海油,95,27.93
600941,中国移动,240,93.76
600955,维远股份,40,15.39
600958,东方证券,175,10.39
600960,渤海汽车,155,5.36
600956,新天绿能,65,7.34
600961,株冶集团,235,14.82
600962,国投中鲁,215,19.76
600959,江苏有线,225,3.65
600967,内蒙一机,240,14.67
600965,福成股份,235,5.74
600963,岳阳林纸,80,4.62
600969,郴电国际,220,9.63
600968,海油发展,145,3.85
600970,中材国际,50,9.26
600966,博汇纸业,210,6.52
600971,恒源煤电,115,7.16
600973,宝胜股份,220,7.58
600976,健民集团,250,34.64
600977,中国电影,160,13.7
600980,北矿科技,190,22.52
600979,广安爱众,225,4.54
600975,新五丰,250,5.71
600981,苏豪汇鸿,225,3.35
600982,宁波能源,170,4.42
600983,惠而浦,45,10.28
600984,建设机械,235,3.95
600987,航民股份,45,7.15
600986,浙文互联,250,8.86
600988,赤峰黄金,165,30.91
600985,淮北矿业,50,13.39
600989,宝丰能源,85,17.7
600990,四创电子,235,25.85
600995,南网储能,85,12.58
600993,马应龙,30,27.98
600992,贵绳股份,30,13.44
600991,广汽长丰,65,15.86
600997,开滦股份,40,5.71
600996,贵广网络,30,9.35
600998,九州通,85,5.11
601002,晋亿实业,250,5.19
600999,招商证券,70,16.68
601000,唐山港,185,3.86
601001,晋控煤业,115,14.39
601003,柳钢股份,210,5.04
601005,重庆钢铁,205,1.46
601006,大秦铁路,235,4.98
601008,连云港,175,5.23
601007,金陵饭店,190,7.78
601009,南京银行,240,11.32
601010,文峰股份,235,2.68
601011,宝泰隆,220,3.42
601012,隆基绿能,65,18.5
601016,节能风电,225,2.95
601015,陕西黑猫,110,4.03
601019,山东出版,30,8.66
601018,宁波港,30,3.65
601021,春秋航空,90,58.61
601020,华钰矿业,225,26.94
601022,宁波远洋,235,9.12
601028,玉龙股份,50,12.29
601033,永兴股份,30,15.21
601038,一拖股份,60,12.72
601059,信达证券,135,17.69
601058,赛轮轮胎,110,15.73
601061,中信金属,220,14.08
601066,中信建投,140,21.76
601068,中铝国际,205,5.98
601065,江盐集团,205,8.34
601069,西部黄金,225,27.16
601077,渝农商行,130,6.1
601083,锦江航运,250,11.82
601086,国芳集团,165,10.36
601088,中国神华,110,41.09
601089,福元医药,240,23.02
601100,恒立液压,240,91.72
601098,中南传媒,230,11.08
601096,宏盛华源,245,4.09
601106,中国一重,130,3.25
601101,昊华能源,160,7.23
601107,四川成渝,220,6.07
601108,财通证券,145,8.4
601113,华鼎股份,240,4.67
601111,中国国航,30,8.34
601116,三江购物,175,13.72
601117,中国化学,75,7.53
601118,海南橡胶,80,5.91
601121,宝地矿业,220,7.4
601126,四方股份,235,28.9
601133,柏诚股份,220,12.65
601128,常熟银行,250,7.13
601127,赛力斯,250,88.33
601138,工业富联,250,60.75
601137,博威合金,120,19.99
601136,首创证券,30,16.38
601139,深圳燃气,235,6.78
601158,重庆水务,250,4.5
601155,新城控股,230,14.09
601156,东航物流,85,18.37
601162,天风证券,135,4.21
601163,三角轮胎,45,14.18
601169,北京银行,130,5.4
601168,西部矿业,160,24.64
601166,兴业银行,170,18.29
601177,杭齿前进,165,17.32
601179,中国西电,180,15.9
601186,中国铁建,80,7.79
601188,龙江交通,35,3.62
601187,厦门银行,205,7.53
601198,东兴证券,250,13.95
601200,上海环境,30,8.06
